"","firstname","sex","race","call_back"
"140","Allison","female","white","No"
"141","Carrie","female","white","No"
"142","Ebony","female","black","No"
"143","Kenya","female","black","No"
"144","Kristen","female","white","No"
"145","Jermaine","male","black","No"
"146","Laurie","female","white","No"
"147","Allison","female","white","No"
"148","Kristen","female","white","No"
"149","Lakisha","female","black","No"
"150","Latonya","female","black","No"
"151","Brad","male","white","No"
"152","Leroy","male","black","No"
"153","Emily","female","white","No"
"154","Latonya","female","black","No"
"155","Latoya","female","black","No"
"156","Laurie","female","white","No"
"157","Aisha","female","black","No"
"158","Allison","female","white","No"
"159","Ebony","female","black","No"
"160","Jermaine","male","black","No"
"161","Kristen","female","white","No"
"162","Latonya","female","black","No"
"163","Laurie","female","white","No"
"164","Laurie","female","white","No"
"165","Anne","female","white","No"
"166","Brendan","male","white","Yes"
"167","Kareem","male","black","No"
"168","Keisha","female","black","No"
"169","Matthew","male","white","Yes"
"170","Meredith","female","white","No"
"171","Tanisha","female","black","No"
"172","Tanisha","female","black","Yes"
"173","Aisha","female","black","No"
"174","Allison","female","white","No"
"175","Allison","female","white","No"
"176","Anne","female","white","No"
"177","Brendan","male","white","No"
"178","Brett","male","white","No"
"179","Brett","male","white","No"
"180","Brett","male","white","No"
"181","Ebony","female","black","No"
"182","Geoffrey","male","white","No"
"183","Jay","male","white","No"
"184","Jill","female","white","No"
"185","Keisha","female","black","No"
"186","Keisha","female","black","No"
"187","Kenya","female","black","No"
"188","Kenya","female","black","No"
"189","Lakisha","female","black","No"
"190","Latoya","female","black","No"
"191","Latoya","female","black","No"
"192","Laurie","female","white","No"
"193","Matthew","male","white","No"
"194","Rasheed","male","black","No"
"195","Sarah","female","white","No"
"196","Sarah","female","white","No"
"197","Tamika","female","black","No"
"198","Tanisha","female","black","No"
"199","Tanisha","female","black","No"
"200","Tremayne","male","black","No"
"201","Lakisha","female","black","Yes"
"202","Meredith","female","white","Yes"
"203","Anne","female","white","No"
"204","Latonya","female","black","No"
"205","Sarah","female","white","No"
"206","Tamika","female","black","No"
"207","Jill","female","white","No"
"208","Keisha","female","black","No"
"209","Lakisha","female","black","No"
"210","Meredith","female","white","No"
"211","Jill","female","white","Yes"
"212","Keisha","female","black","No"
"213","Lakisha","female","black","No"
"214","Meredith","female","white","No"
"215","Carrie","female","white","No"
"216","Greg","male","white","No"
"217","Kenya","female","black","No"
"218","Tremayne","male","black","No"
"219","Kenya","female","black","No"
"220","Neil","male","white","No"
"221","Emily","female","white","No"
"222","Jill","female","white","No"
"223","Latonya","female","black","No"
"224","Tanisha","female","black","No"
"225","Ebony","female","black","No"
"226","Kristen","female","white","No"
"227","Latonya","female","black","No"
"228","Laurie","female","white","No"
"229","Anne","female","white","No"
"230","Emily","female","white","No"
"231","Keisha","female","black","No"
"232","Tanisha","female","black","No"
"233","Allison","female","white","No"
"234","Kristen","female","white","No"
"235","Latonya","female","black","No"
"236","Tanisha","female","black","No"
"237","Aisha","female","black","No"
"238","Allison","female","white","No"
"239","Anne","female","white","No"
"240","Latonya","female","black","No"
"241","Latoya","female","black","No"
"242","Sarah","female","white","No"
"243","Aisha","female","black","No"
"244","Anne","female","white","No"
"245","Latoya","female","black","No"
"246","Laurie","female","white","No"
"247","Anne","female","white","No"
"248","Carrie","female","white","Yes"
"249","Ebony","female","black","No"
"250","Lakisha","female","black","No"
"251","Allison","female","white","No"
"252","Keisha","female","black","No"
"253","Kristen","female","white","No"
"254","Tanisha","female","black","No"
"255","Aisha","female","black","No"
"256","Emily","female","white","No"
"257","Latonya","female","black","No"
"258","Sarah","female","white","No"
"259","Geoffrey","male","white","No"
"260","Kareem","male","black","Yes"
"261","Kristen","female","white","No"
"262","Rasheed","male","black","No"
"263","Todd","male","white","No"
"264","Tyrone","male","black","No"
"265","Brendan","male","white","No"
"266","Jamal","male","black","No"
"267","Matthew","male","white","No"
"268","Meredith","female","white","Yes"
"269","Rasheed","male","black","No"
"270","Tremayne","male","black","Yes"
"271","Anne","female","white","Yes"
"272","Ebony","female","black","Yes"
"273","Kristen","female","white","Yes"
"274","Tamika","female","black","No"
"275","Aisha","female","black","No"
"276","Allison","female","white","No"
"277","Emily","female","white","No"
"278","Kristen","female","white","No"
"279","Latoya","female","black","No"
"280","Tamika","female","black","No"
"281","Aisha","female","black","No"
"282","Anne","female","white","No"
"283","Emily","female","white","No"
"284","Jill","female","white","No"
"285","Keisha","female","black","No"
"286","Lakisha","female","black","No"
"287","Ebony","female","black","No"
"288","Kenya","female","black","No"
"289","Kristen","female","white","No"
"290","Meredith","female","white","No"
"291","Aisha","female","black","No"
"292","Anne","female","white","No"
"293","Emily","female","white","No"
"294","Emily","female","white","No"
"295","Kenya","female","black","No"
"296","Latonya","female","black","No"
"297","Anne","female","white","No"
"298","Emily","female","white","No"
"299","Keisha","female","black","No"
"300","Tamika","female","black","No"
"301","Anne","female","white","No"
"302","Emily","female","white","No"
"303","Keisha","female","black","No"
"304","Kenya","female","black","No"
"305","Latoya","female","black","No"
"306","Neil","male","white","No"
"307","Aisha","female","black","No"
"308","Anne","female","white","No"
"309","Emily","female","white","No"
"310","Tamika","female","black","No"
"311","Carrie","female","white","No"
"312","Jill","female","white","No"
"313","Keisha","female","black","No"
"314","Latonya","female","black","No"
"315","Sarah","female","white","No"
"316","Tyrone","male","black","No"
"317","Carrie","female","white","No"
"318","Emily","female","white","No"
"319","Latoya","female","black","No"
"320","Tanisha","female","black","No"
"321","Aisha","female","black","No"
"322","Kristen","female","white","No"
"323","Lakisha","female","black","No"
"324","Laurie","female","white","No"
"325","Allison","female","white","No"
"326","Jill","female","white","No"
"327","Keisha","female","black","No"
"328","Kristen","female","white","No"
"329","Lakisha","female","black","No"
"330","Leroy","male","black","No"
"331","Brad","male","white","No"
"332","Keisha","female","black","No"
"333","Allison","female","white","No"
"334","Carrie","female","white","No"
"335","Latonya","female","black","No"
"336","Latoya","female","black","No"
"337","Carrie","female","white","No"
"338","Ebony","female","black","No"
"339","Latonya","female","black","No"
"340","Laurie","female","white","No"
"341","Meredith","female","white","No"
"342","Tremayne","male","black","No"
"343","Allison","female","white","No"
"344","Carrie","female","white","No"
"345","Lakisha","female","black","No"
"346","Tamika","female","black","No"
"347","Anne","female","white","No"
"348","Darnell","male","black","No"
"349","Greg","male","white","Yes"
"350","Tamika","female","black","No"
"351","Allison","female","white","No"
"352","Carrie","female","white","No"
"353","Kenya","female","black","No"
"354","Tremayne","male","black","No"
"355","Aisha","female","black","No"
"356","Aisha","female","black","No"
"357","Brad","male","white","No"
"358","Brad","male","white","No"
"359","Brendan","male","white","No"
"360","Ebony","female","black","No"
"361","Geoffrey","male","white","No"
"362","Greg","male","white","No"
"363","Greg","male","white","No"
"364","Greg","male","white","No"
"365","Hakim","male","black","No"
"366","Jay","male","white","No"
"367","Jermaine","male","black","No"
"368","Kareem","male","black","No"
"369","Kareem","male","black","No"
"370","Latonya","female","black","No"
"371","Leroy","male","black","No"
"372","Meredith","female","white","No"
"373","Sarah","female","white","No"
"374","Sarah","female","white","No"
"375","Tamika","female","black","No"
"376","Tanisha","female","black","No"
"377","Todd","male","white","No"
"378","Tremayne","male","black","No"
"379","Emily","female","white","No"
"380","Kenya","female","black","No"
"381","Latoya","female","black","No"
"382","Sarah","female","white","No"
"383","Carrie","female","white","Yes"
"384","Jermaine","male","black","Yes"
"385","Matthew","male","white","No"
"386","Tyrone","male","black","No"
"387","Allison","female","white","No"
"388","Ebony","female","black","No"
"389","Jay","male","white","Yes"
"390","Tamika","female","black","No"
"391","Anne","female","white","No"
"392","Latonya","female","black","No"
"393","Laurie","female","white","No"
"394","Tanisha","female","black","No"
"395","Ebony","female","black","No"
"396","Jill","female","white","No"
"397","Kristen","female","white","No"
"398","Lakisha","female","black","No"
"399","Carrie","female","white","No"
"400","Jill","female","white","No"
"401","Keisha","female","black","No"
"402","Rasheed","male","black","No"
"403","Allison","female","white","No"
"404","Kenya","female","black","No"
"405","Meredith","female","white","No"
"406","Tamika","female","black","No"
"407","Matthew","male","white","No"
"408","Tremayne","male","black","No"
"409","Ebony","female","black","No"
"410","Emily","female","white","No"
"411","Jill","female","white","No"
"412","Tamika","female","black","No"
"413","Darnell","male","black","No"
"414","Emily","female","white","Yes"
"415","Neil","male","white","No"
"416","Tamika","female","black","No"
"417","Latonya","female","black","No"
"418","Laurie","female","white","No"
"419","Sarah","female","white","No"
"420","Tanisha","female","black","No"
"421","Carrie","female","white","No"
"422","Kareem","male","black","No"
"423","Todd","male","white","No"
"424","Tyrone","male","black","No"
"425","Anne","female","white","No"
"426","Jill","female","white","No"
"427","Kenya","female","black","Yes"
"428","Latoya","female","black","Yes"
"429","Anne","female","white","No"
"430","Ebony","female","black","No"
"431","Emily","female","white","No"
"432","Keisha","female","black","No"
"433","Allison","female","white","No"
"434","Kristen","female","white","No"
"435","Lakisha","female","black","No"
"436","Tanisha","female","black","No"
"437","Brendan","male","white","No"
"438","Laurie","female","white","No"
"439","Rasheed","male","black","No"
"440","Tyrone","male","black","No"
"441","Jill","female","white","No"
"442","Lakisha","female","black","No"
"443","Matthew","male","white","Yes"
"444","Tamika","female","black","No"
"445","Aisha","female","black","No"
"446","Emily","female","white","No"
"447","Keisha","female","black","No"
"448","Sarah","female","white","Yes"
"449","Anne","female","white","No"
"450","Emily","female","white","No"
"451","Latoya","female","black","No"
"452","Tamika","female","black","No"
"453","Kenya","female","black","No"
"454","Kristen","female","white","No"
"455","Latonya","female","black","No"
"456","Laurie","female","white","No"
"457","Carrie","female","white","No"
"458","Jill","female","white","No"
"459","Keisha","female","black","No"
"460","Latoya","female","black","No"
"461","Emily","female","white","No"
"462","Kristen","female","white","No"
"463","Latoya","female","black","No"
"464","Tamika","female","black","No"
"465","Keisha","female","black","No"
"466","Kristen","female","white","No"
"467","Lakisha","female","black","No"
"468","Meredith","female","white","No"
"469","Allison","female","white","No"
"470","Lakisha","female","black","No"
"471","Meredith","female","white","No"
"472","Tanisha","female","black","No"
"473","Emily","female","white","Yes"
"474","Keisha","female","black","No"
"475","Latonya","female","black","Yes"
"476","Sarah","female","white","Yes"
"477","Aisha","female","black","Yes"
"478","Jill","female","white","Yes"
"479","Latonya","female","black","Yes"
"480","Sarah","female","white","Yes"
"481","Anne","female","white","No"
"482","Kenya","female","black","No"
"483","Latoya","female","black","No"
"484","Sarah","female","white","No"
"485","Allison","female","white","No"
"486","Keisha","female","black","No"
"487","Meredith","female","white","No"
"488","Tanisha","female","black","No"
"489","Anne","female","white","No"
"490","Carrie","female","white","No"
"491","Latonya","female","black","No"
"492","Tanisha","female","black","No"
"493","Allison","female","white","No"
"494","Anne","female","white","No"
"495","Ebony","female","black","No"
"496","Jill","female","white","No"
"497","Keisha","female","black","No"
"498","Lakisha","female","black","No"
"499","Latonya","female","black","No"
"500","Todd","male","white","No"
"501","Carrie","female","white","No"
"502","Meredith","female","white","No"
"503","Tamika","female","black","No"
"504","Tanisha","female","black","No"
"505","Aisha","female","black","No"
"506","Anne","female","white","No"
"507","Emily","female","white","No"
"508","Latonya","female","black","No"
"509","Aisha","female","black","No"
"510","Allison","female","white","No"
"511","Jill","female","white","No"
"512","Tamika","female","black","No"
"513","Anne","female","white","No"
"514","Ebony","female","black","No"
"515","Jill","female","white","No"
"516","Tamika","female","black","No"
"517","Carrie","female","white","No"
"518","Kenya","female","black","No"
"519","Sarah","female","white","No"
"520","Tanisha","female","black","No"
"521","Anne","female","white","No"
"522","Keisha","female","black","No"
"523","Allison","female","white","No"
"524","Latoya","female","black","No"
"525","Sarah","female","white","No"
"526","Tamika","female","black","No"
"527","Anne","female","white","No"
"528","Jill","female","white","No"
"529","Kenya","female","black","No"
"530","Lakisha","female","black","No"
"531","Jill","female","white","No"
"532","Keisha","female","black","No"
"533","Lakisha","female","black","No"
"534","Meredith","female","white","No"
"535","Aisha","female","black","No"
"536","Allison","female","white","No"
"537","Allison","female","white","No"
"538","Hakim","male","black","No"
"539","Sarah","female","white","No"
"540","Tamika","female","black","No"
"541","Aisha","female","black","No"
"542","Latoya","female","black","No"
"543","Laurie","female","white","No"
"544","Meredith","female","white","No"
"545","Aisha","female","black","No"
"546","Allison","female","white","No"
"547","Allison","female","white","No"
"548","Allison","female","white","No"
"549","Anne","female","white","No"
"550","Brad","male","white","No"
"551","Brendan","male","white","No"
"552","Darnell","male","black","No"
"553","Emily","female","white","No"
"554","Geoffrey","male","white","No"
"555","Greg","male","white","No"
"556","Hakim","male","black","No"
"557","Hakim","male","black","No"
"558","Jay","male","white","No"
"559","Jermaine","male","black","No"
"560","Kareem","male","black","No"
"561","Kenya","female","black","No"
"562","Kenya","female","black","No"
"563","Lakisha","female","black","No"
"564","Latonya","female","black","No"
"565","Meredith","female","white","No"
"566","Neil","male","white","No"
"567","Neil","male","white","No"
"568","Rasheed","male","black","No"
"569","Tamika","female","black","No"
"570","Tanisha","female","black","No"
"571","Todd","male","white","No"
"572","Tremayne","male","black","No"
"573","Brad","male","white","No"
"574","Ebony","female","black","No"
"575","Jamal","male","black","No"
"576","Jay","male","white","No"
"577","Ebony","female","black","Yes"
"578","Emily","female","white","Yes"
"579","Latonya","female","black","No"
"580","Meredith","female","white","No"
"581","Lakisha","female","black","No"
"582","Latonya","female","black","No"
"583","Laurie","female","white","Yes"
"584","Meredith","female","white","No"
"585","Darnell","male","black","No"
"586","Geoffrey","male","white","No"
"587","Kristen","female","white","No"
"588","Tyrone","male","black","No"
"589","Jill","female","white","No"
"590","Latonya","female","black","No"
"591","Sarah","female","white","No"
"592","Tanisha","female","black","No"
"593","Allison","female","white","Yes"
"594","Ebony","female","black","No"
"595","Lakisha","female","black","No"
"596","Laurie","female","white","Yes"
"597","Allison","female","white","No"
"598","Emily","female","white","No"
"599","Tamika","female","black","No"
"600","Tanisha","female","black","No"
"601","Allison","female","white","Yes"
"602","Brett","male","white","No"
"603","Jermaine","male","black","No"
"604","Tanisha","female","black","No"
"605","Aisha","female","black","No"
"606","Allison","female","white","No"
"607","Jill","female","white","No"
"608","Latonya","female","black","No"
"609","Carrie","female","white","No"
"610","Ebony","female","black","No"
"611","Latoya","female","black","No"
"612","Laurie","female","white","No"
"613","Carrie","female","white","No"
"614","Keisha","female","black","No"
"615","Latonya","female","black","No"
"616","Sarah","female","white","No"
"617","Allison","female","white","No"
"618","Ebony","female","black","No"
"619","Kenya","female","black","No"
"620","Sarah","female","white","No"
"621","Aisha","female","black","No"
"622","Jill","female","white","No"
"623","Kristen","female","white","No"
"624","Latonya","female","black","No"
"625","Anne","female","white","No"
"626","Ebony","female","black","No"
"627","Kristen","female","white","No"
"628","Latoya","female","black","No"
"629","Ebony","female","black","No"
"630","Jill","female","white","No"
"631","Sarah","female","white","No"
"632","Tamika","female","black","No"
"633","Emily","female","white","No"
"634","Keisha","female","black","No"
"635","Kenya","female","black","No"
"636","Sarah","female","white","No"
"637","Aisha","female","black","No"
"638","Ebony","female","black","No"
"639","Jill","female","white","No"
"640","Meredith","female","white","No"
"641","Anne","female","white","No"
"642","Emily","female","white","No"
"643","Latoya","female","black","No"
"644","Tamika","female","black","No"
"645","Allison","female","white","No"
"646","Emily","female","white","No"
"647","Kenya","female","black","No"
"648","Tamika","female","black","No"
"649","Allison","female","white","No"
"650","Carrie","female","white","No"
"651","Keisha","female","black","No"
"652","Lakisha","female","black","No"
"653","Laurie","female","white","No"
"654","Tanisha","female","black","No"
"655","Anne","female","white","No"
"656","Carrie","female","white","No"
"657","Keisha","female","black","No"
"658","Tamika","female","black","No"
"659","Allison","female","white","No"
"660","Latonya","female","black","No"
"661","Laurie","female","white","No"
"662","Tamika","female","black","No"
"663","Allison","female","white","No"
"664","Keisha","female","black","No"
"665","Meredith","female","white","No"
"666","Tanisha","female","black","No"
"667","Jill","female","white","No"
"668","Lakisha","female","black","No"
"669","Sarah","female","white","No"
"670","Tamika","female","black","No"
"671","Anne","female","white","No"
"672","Ebony","female","black","No"
"673","Sarah","female","white","No"
"674","Tanisha","female","black","No"
"675","Carrie","female","white","No"
"676","Keisha","female","black","No"
"677","Latonya","female","black","No"
"678","Sarah","female","white","No"
"679","Carrie","female","white","No"
"680","Latoya","female","black","No"
"681","Meredith","female","white","No"
"682","Tanisha","female","black","No"
"683","Allison","female","white","No"
"684","Ebony","female","black","No"
"685","Lakisha","female","black","No"
"686","Laurie","female","white","No"
"687","Kenya","female","black","No"
"688","Laurie","female","white","No"
"689","Jay","male","white","No"
"690","Keisha","female","black","No"
"691","Emily","female","white","No"
"692","Kenya","female","black","No"
"693","Sarah","female","white","No"
"694","Tanisha","female","black","No"
"695","Aisha","female","black","No"
"696","Allison","female","white","No"
"697","Allison","female","white","No"
"698","Anne","female","white","No"
"699","Brad","male","white","No"
"700","Brad","male","white","No"
"701","Brett","male","white","No"
"702","Carrie","female","white","No"
"703","Carrie","female","white","No"
"704","Emily","female","white","No"
"705","Jamal","male","black","No"
"706","Jay","male","white","No"
"707","Jay","male","white","No"
"708","Jermaine","male","black","No"
"709","Jill","female","white","No"
"710","Kareem","male","black","No"
"711","Kareem","male","black","No"
"712","Kareem","male","black","No"
"713","Keisha","female","black","No"
"714","Latonya","female","black","No"
"715","Latonya","female","black","No"
"716","Latoya","female","black","No"
"717","Laurie","female","white","No"
"718","Leroy","male","black","No"
"719","Neil","male","white","No"
"720","Rasheed","male","black","No"
"721","Sarah","female","white","No"
"722","Sarah","female","white","No"
"723","Tanisha","female","black","No"
"724","Tanisha","female","black","No"
"725","Tremayne","male","black","No"
"726","Tyrone","male","black","No"
"727","Kristen","female","white","No"
"728","Latonya","female","black","No"
"729","Sarah","female","white","No"
"730","Tanisha","female","black","No"
"731","Ebony","female","black","No"
"732","Emily","female","white","No"
"733","Lakisha","female","black","No"
"734","Sarah","female","white","No"
"735","Anne","female","white","Yes"
"736","Latoya","female","black","Yes"
"737","Meredith","female","white","No"
"738","Tanisha","female","black","No"
"739","Anne","female","white","No"
"740","Hakim","male","black","No"
"741","Jay","male","white","No"
"742","Latoya","female","black","No"
"743","Aisha","female","black","No"
"744","Emily","female","white","No"
"745","Jill","female","white","No"
"746","Keisha","female","black","No"
"747","Laurie","female","white","No"
"748","Tamika","female","black","No"
"749","Carrie","female","white","No"
"750","Lakisha","female","black","No"
"751","Latoya","female","black","No"
"752","Laurie","female","white","No"
"753","Allison","female","white","No"
"754","Kristen","female","white","No"
"755","Lakisha","female","black","No"
"756","Latonya","female","black","No"
"757","Allison","female","white","Yes"
"758","Keisha","female","black","No"
"759","Laurie","female","white","Yes"
"760","Tanisha","female","black","No"
"761","Jill","female","white","No"
"762","Kristen","female","white","No"
"763","Lakisha","female","black","No"
"764","Tamika","female","black","No"
"765","Latoya","female","black","Yes"
"766","Laurie","female","white","Yes"
"767","Sarah","female","white","No"
"768","Tamika","female","black","No"
"769","Ebony","female","black","No"
"770","Lakisha","female","black","No"
"771","Meredith","female","white","No"
"772","Sarah","female","white","No"
"773","Allison","female","white","No"
"774","Kenya","female","black","No"
"775","Laurie","female","white","No"
"776","Tamika","female","black","No"
"777","Allison","female","white","No"
"778","Keisha","female","black","No"
"779","Lakisha","female","black","No"
"780","Meredith","female","white","No"
"781","Latonya","female","black","No"
"782","Laurie","female","white","No"
"783","Aisha","female","black","No"
"784","Allison","female","white","No"
"785","Carrie","female","white","No"
"786","Tanisha","female","black","No"
"787","Anne","female","white","No"
"788","Latoya","female","black","No"
"789","Laurie","female","white","No"
"790","Tamika","female","black","No"
"791","Carrie","female","white","No"
"792","Lakisha","female","black","No"
"793","Latonya","female","black","No"
"794","Sarah","female","white","No"
"795","Ebony","female","black","No"
"796","Kristen","female","white","No"
"797","Anne","female","white","No"
"798","Emily","female","white","No"
"799","Kenya","female","black","No"
"800","Latoya","female","black","No"
"801","Allison","female","white","No"
"802","Emily","female","white","No"
"803","Tamika","female","black","No"
"804","Tanisha","female","black","No"
"805","Aisha","female","black","No"
"806","Allison","female","white","No"
"807","Carrie","female","white","Yes"
"808","Latoya","female","black","No"
"809","Ebony","female","black","No"
"810","Jill","female","white","No"
"811","Kristen","female","white","No"
"812","Latoya","female","black","No"
"813","Anne","female","white","No"
"814","Emily","female","white","No"
"815","Keisha","female","black","No"
"816","Kenya","female","black","No"
"817","Carrie","female","white","No"
"818","Ebony","female","black","No"
"819","Meredith","female","white","No"
"820","Tamika","female","black","No"
"821","Kristen","female","white","Yes"
"822","Laurie","female","white","No"
"823","Tamika","female","black","No"
"824","Tanisha","female","black","No"
"825","Carrie","female","white","No"
"826","Emily","female","white","No"
"827","Keisha","female","black","No"
"828","Tamika","female","black","No"
"829","Allison","female","white","No"
"830","Brad","male","white","No"
"831","Brad","male","white","No"
"832","Brendan","male","white","No"
"833","Brett","male","white","No"
"834","Brett","male","white","No"
"835","Carrie","female","white","No"
"836","Emily","female","white","No"
"837","Greg","male","white","No"
"838","Hakim","male","black","No"
"839","Hakim","male","black","No"
"840","Hakim","male","black","No"
"841","Jamal","male","black","No"
"842","Jay","male","white","No"
"843","Keisha","female","black","No"
"844","Keisha","female","black","No"
"845","Keisha","female","black","No"
"846","Keisha","female","black","No"
"847","Keisha","female","black","No"
"848","Keisha","female","black","No"
"849","Kenya","female","black","No"
"850","Kristen","female","white","No"
"851","Matthew","male","white","No"
"852","Meredith","female","white","No"
"853","Sarah","female","white","No"
"854","Sarah","female","white","No"
"855","Todd","male","white","No"
"856","Tremayne","male","black","No"
"857","Tyrone","male","black","No"
"858","Tyrone","male","black","No"
"859","Tyrone","male","black","No"
"860","Tyrone","male","black","No"
"861","Allison","female","white","No"
"862","Anne","female","white","No"
"863","Latonya","female","black","No"
"864","Tamika","female","black","No"
"865","Jill","female","white","No"
"866","Kenya","female","black","No"
"867","Meredith","female","white","No"
"868","Tamika","female","black","No"
"869","Allison","female","white","No"
"870","Ebony","female","black","No"
"871","Emily","female","white","No"
"872","Latoya","female","black","No"
"873","Kristen","female","white","No"
"874","Latonya","female","black","No"
"875","Laurie","female","white","No"
"876","Tanisha","female","black","No"
"877","Anne","female","white","No"
"878","Kenya","female","black","No"
"879","Lakisha","female","black","No"
"880","Meredith","female","white","No"
"881","Emily","female","white","No"
"882","Meredith","female","white","No"
"883","Tanisha","female","black","No"
"884","Tyrone","male","black","No"
"885","Aisha","female","black","No"
"886","Allison","female","white","Yes"
"887","Carrie","female","white","Yes"
"888","Latoya","female","black","No"
"889","Anne","female","white","Yes"
"890","Tamika","female","black","No"
"891","Aisha","female","black","No"
"892","Carrie","female","white","No"
"893","Ebony","female","black","No"
"894","Meredith","female","white","No"
"895","Anne","female","white","No"
"896","Lakisha","female","black","No"
"897","Latonya","female","black","No"
"898","Meredith","female","white","Yes"
"899","Aisha","female","black","No"
"900","Emily","female","white","No"
"901","Jill","female","white","No"
"902","Keisha","female","black","No"
"903","Allison","female","white","No"
"904","Latoya","female","black","No"
"905","Meredith","female","white","No"
"906","Tanisha","female","black","No"
"907","Carrie","female","white","No"
"908","Kenya","female","black","No"
"909","Latonya","female","black","No"
"910","Sarah","female","white","Yes"
"911","Allison","female","white","Yes"
"912","Ebony","female","black","No"
"913","Sarah","female","white","No"
"914","Tanisha","female","black","No"
"915","Anne","female","white","No"
"916","Ebony","female","black","No"
"917","Keisha","female","black","No"
"918","Kristen","female","white","No"
"919","Allison","female","white","No"
"920","Emily","female","white","No"
"921","Latonya","female","black","No"
"922","Latoya","female","black","No"
"923","Jill","female","white","No"
"924","Latoya","female","black","No"
"925","Sarah","female","white","Yes"
"926","Tamika","female","black","Yes"
"927","Anne","female","white","No"
"928","Jill","female","white","No"
"929","Keisha","female","black","No"
"930","Kenya","female","black","No"
"931","Latoya","female","black","No"
